Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
-66.83794474037776	-66.29529863193058	-66.82025137450556	-66.83868841851557	-66.80377679956685	-63.21077454765331	-48.466873193381225	-45.123844090251964	-45.1913807069363	-43.22377513183759
-66.83794474037776	-66.52782992975105	-66.82025137450556	-66.8382124888009	-63.20626630635248	-45.19678349719699	-48.932974396277565	-45.43722798222738	-45.34854123180625	-43.45819371403209
-66.83794474037776	-66.6735906300207	-66.82025137450556	-66.8382124888009	-42.40464480673428	-31.643199353639677	-48.95798667241793	-45.43722798222738	-45.53030147610734	-43.54204561893538
-66.83794474037776	-66.75235136490684	-66.82025137450556	-66.8382124888009	-37.66800457893514	-33.297936723238834	-48.95798667241793	-45.47218347452797	-45.59781887546684	-44.038338185756004
-66.83794474037776	-66.80333465049247	-66.82025137450556	-66.8382124888009	-36.81948390865062	-34.93017194540215	-49.136174629413944	-45.47218347452797	-45.63164322538359	-44.038338185756004
-66.83794474037776	-66.81953619582401	-66.82025137450556	-66.8382124888009	-39.92504576963378	-36.5375354763902	-49.136174629413944	-45.47218347452797	-45.67610963350919	-44.225146412772325
-66.83794474037776	-66.8349560854613	-66.82025137450556	-66.8382124888009	-42.90263401428347	-38.117708463021344	-49.136174629413944	-45.47218347452797	-45.80142207914919	-44.34894300750967
-66.83794474037776	-66.84265370000128	-66.82025137450556	-66.8382124888009	-45.73540018405401	-39.66842497126153	-49.136174629413944	-45.47218347452797	-45.80142207914919	-44.87229190378251
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-48.407464336403	-41.187474083249796	-49.136174629413944	-45.47218347452797	-45.80142207914919	-45.11354423267814
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-50.90396348826173	-42.6727018649733	-49.136174629413944	-45.55215229910542	-45.80142207914919	-45.42076006590725
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-53.211092583615724	-44.12201320686619	-49.136174629413944	-45.55215229910542	-45.92449940523345	-45.42106266046363
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-55.31613830486467	-45.53337353966233	-49.136174629413944	-45.55215229910542	-45.99324325414326	-45.69084581221832
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-57.207506053648764	-46.904810427880086	-49.136174629413944	-45.55215229910542	-45.99653052054744	-45.81566086177342
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-58.87474043073788	-48.2344150433614	-49.136174629413944	-45.94526381533008	-45.99653052054744	-45.98061683193551
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-60.308539546608344	-49.52034352132431	-49.136174629413944	-46.51913164444296	-46.034983313980064	-46.01841540056107
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-61.51020669093034	-50.76081820142194	-49.136174629413944	-46.5593303550907	-46.083298078378604	-46.175064233782436
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-62.54396956720065	-51.954128756328586	-49.136174629413944	-46.5593303550907	-46.66995896479978	-46.40712170208474
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-63.460128006794754	-53.09863321039686	-49.136174629413944	-46.67236084578851	-46.67172712550668	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-64.26742435752877	-54.19275885094997	-49.136174629413944	-46.72840570293825	-46.94691166581961	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-64.97086933010482	-55.235003034787766	-49.22972505062143	-46.97917826225709	-46.96506286045077	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-65.56331713697882	-56.223933892497165	-49.22972505062143	-46.97917826225709	-46.96506286045077	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.04292440026936	-57.15819093316564	-49.70853402209064	-46.97917826225709	-47.19675397854897	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.40159996901676	-58.036485552100395	-49.91452848337148	-47.112581608907476	-47.2320898942874	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.63409235343606	-58.85760144415851	-50.11511020633285	-47.112581608907476	-47.97050504176689	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.75879604524	-59.62039492529014	-50.35952110385195	-47.370488764081976	-48.748803727981525	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-63.31838733615439	-60.32379516489438	-50.35952110385195	-47.92981145912512	-48.748803727981525	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-49.322850628041905	-60.9668043315785	-50.35952110385195	-47.92981145912512	-49.39427839444802	-46.5517001739526
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-36.779785212484946	-61.54849765490364	-50.65318051877656	-48.009792577439484	-49.52471288847608	-46.766231239375934
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-39.683357850993374	-62.07589145394807	-50.71743569569465	-48.24110363413368	-50.10067520229431	-46.766231239375934
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-39.040868340470574	-62.565008024818766	-50.91212352696978	-48.372612413095105	-50.1064487592662	-46.92258888656609
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-42.05646521774228	-63.02942008696658	-50.962157351408464	-48.56907782021149	-50.1080788730474	-47.04393301124874
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-44.93201329443615	-63.47254479782506	-51.01533234709386	-48.56907782021149	-50.1080788730474	-47.37025952910614
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-47.651350504854236	-63.89287890574585	-51.494431209285096	-48.56907782021149	-50.23617639034414	-47.55965380763323
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-50.19931839122882	-64.28890812709274	-51.84330111917004	-48.56907782021149	-50.827301800704234	-47.9187792712235
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-52.5618051954194	-64.65910960740945	-51.84330111917004	-48.56907782021149	-50.827301800704234	-48.79232588535987
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-54.725781702008206	-65.00195449516535	-51.863784403742315	-48.56907782021149	-50.827301800704234	-48.79366736222245
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-56.679330156923626	-65.31591062924527	-52.4054402894271	-48.56907782021149	-51.00129132721181	-48.79366736222245
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-58.41166659021695	-65.5996223212512	-52.85009775188276	-48.56907782021149	-51.301020027583604	-49.27022097726828
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-59.913156874169786	-65.85564161586518	-53.03650882673096	-48.56907782021149	-52.056490315826295	-49.400346475936956
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-61.18694873361392	-66.08405913797635	-53.355381071240046	-48.56907782021149	-52.90486092662835	-49.400346475936956
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-62.260385463428165	-66.28234227736594	-53.355381071240046	-48.56907782021149	-52.98036189825285	-49.400346475936956
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-63.20272003168532	-66.44647197359893	-53.355381071240046	-48.56907782021149	-52.98036189825285	-49.833908844396305
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-64.04002207825019	-66.58272223176071	-53.41900984264964	-48.56907782021149	-52.98036189825285	-50.09171374395836
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-64.77733891785908	-66.6926663761166	-53.41900984264964	-48.56907782021149	-53.023532183623104	-50.20731431186333
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-65.40247380669243	-66.76994020289749	-53.612518370201016	-48.56907782021149	-53.427029462574204	-50.508508552235746
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-65.90810871223071	-66.81281308195247	-53.612518370201016	-48.56907782021149	-53.501708467180116	-50.89842977126976
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.2975733478911	-63.10975362251944	-53.82843614628332	-48.56907782021149	-53.597003792505134	-50.89842977126976
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.577803120529	-56.08875153688655	-53.82843614628332	-48.56907782021149	-54.0123882598448	-50.97313137621267
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.73582523168433	-45.78918563630651	-53.82843614628332	-48.56907782021149	-54.089881349401026	-50.97578723576577
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-59.83430282937045	-31.64128805255163	-53.82843614628332	-48.56907782021149	-54.22520561306162	-50.98597883766662
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-57.09721442752283	-33.2942016048808	-53.82843614628332	-48.56907782021149	-54.22520561306162	-51.00972911384542
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-40.28972724804187	-34.924628691674464	-53.82843614628332	-48.56907782021149	-54.22520561306162	-51.00972911384542
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-39.55704396931872	-36.53020175542152	-54.005083401274796	-48.69552876308125	-54.22520561306162	-51.00972911384542
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-38.986405208146714	-38.1086038546362	-54.319069224385146	-48.69552876308125	-54.22520561306162	-51.00972911384542
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-42.00365042435111	-39.65757089292654	-54.319069224385146	-48.69552876308125	-54.24001425621966	-51.149252242092025
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-44.88115854491263	-41.17489371656151	-54.319069224385146	-48.73103608616681	-54.24001425621966	-51.20172438860864
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-47.60275236225783	-42.65842008274579	-54.319069224385146	-48.89432478095926	-54.24001425621966	-51.21785420765097
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-50.15325725274504	-44.106056500873784	-54.319069224385146	-49.21762747207622	-54.24001425621966	-51.22078503972364
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-52.51854440500756	-45.5157699490879	-54.319069224385146	-49.45202846389547	-54.24001425621966	-51.36621366222511
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-54.68556679425294	-46.8855894685169	-54.319069224385146	-49.674519089939686	-54.351322382724234	-51.606208071770155
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-56.642388226508544	-48.21360763761236	-54.319069224385146	-49.69292582366168	-54.445946421289726	-51.61471411823179
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-58.378205781338785	-49.49798192903988	-54.319069224385146	-49.69292582366168	-54.445946421289726	-51.73261552252109
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-59.88336598414777	-50.73693595161451	-54.319069224385146	-49.69292582366168	-54.445946421289726	-51.73261552252109
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-61.17309663013515	-51.928760579798464	-54.319069224385146	-49.766590612038506	-54.445946421289726	-51.73261552252109
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-62.269319473975045	-53.07181497330224	-54.319069224385146	-49.766590612038506	-54.445946421289726	-51.73261552252109
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-63.21137795729394	-54.16452748935062	-54.319069224385146	-49.86405011065209	-54.445946421289726	-51.73261552252109
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-64.04594062250722	-55.20539649018964	-54.319069224385146	-49.9100584136286	-54.447306308645565	-51.73261552252109
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-64.77668350159004	-56.19299104842291	-54.319069224385146	-49.9100584136286	-54.447306308645565	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-65.39614295208207	-57.125951552773486	-54.319069224385146	-49.9100584136286	-54.447306308645565	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-65.89964559270724	-58.00299021687222	-54.319069224385146	-49.9100584136286	-54.519499610056506	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.29205713977586	-58.82289149367502	-54.319069224385146	-49.9100584136286	-54.519499610056506	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.56344541963472	-59.58451239811027	-54.319069224385146	-50.23859666237074	-54.53317287653844	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.72939929256509	-60.286782740553065	-54.319069224385146	-50.23859666237074	-54.53317287653844	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.80031096288182	-60.92870527371609	-54.319069224385146	-50.3261746902441	-54.53317287653844	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.82355870738587	-61.51287728204609	-54.46998280349387	-50.47837516746521	-54.553706978252464	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.82238061110479	-62.05266820182635	-54.554847226260485	-50.47837516746521	-54.61970378067093	-51.749546035564165
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-62.55281282388879	-54.554847226260485	-50.71892423745753	-54.61970378067093	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-63.018712838510396	-54.554847226260485	-50.71892423745753	-54.67636968161726	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-63.46036506674356	-54.554847226260485	-50.71892423745753	-54.75297867337865	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-63.8789381612646	-54.806814781747775	-50.71892423745753	-54.75297867337865	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-64.2729180364887	-54.806814781747775	-50.71892423745753	-54.76418416617645	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-64.64148316866304	-54.806814781747775	-50.71892423745753	-54.88843299153039	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-64.98290093332795	-54.806814781747775	-50.71892423745753	-55.00792700119697	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-65.2954206691901	-54.806814781747775	-50.71892423745753	-55.00792700119697	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-65.57871098731754	-54.806814781747775	-50.71892423745753	-55.05144462629304	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-65.83317359051219	-54.806814781747775	-50.71892423745753	-55.07508400599052	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.06169154898824	-54.806814781747775	-50.71892423745753	-55.07508400599052	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.25872115895774	-54.806814781747775	-50.71892423745753	-55.07508400599052	-51.79810330482309
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.42382639254355	-55.15617131884865	-50.84959681310535	-55.07508400599052	-52.00992425184997
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.55874266398077	-55.15617131884865	-51.271226023326825	-55.07508400599052	-52.30241905430823
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.66745737760655	-55.15617131884865	-51.271226023326825	-55.28057322994404	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.74445703067474	-55.206761303255476	-51.271226023326825	-55.36436620216756	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-66.79087538638585	-55.206761303255476	-51.271226023326825	-55.36436620216756	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-55.74286230655413	-55.206761303255476	-51.271226023326825	-55.480127448459086	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-52.30983381150743	-55.206761303255476	-51.5498546749684	-55.480127448459086	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-45.78383139913946	-55.206761303255476	-51.5498546749684	-55.480127448459086	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-35.77695724015331	-55.206761303255476	-51.5498546749684	-55.66725483600813	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-37.25561554819546	-55.206761303255476	-51.5498546749684	-55.81187968975873	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-35.064720106823344	-55.206761303255476	-51.5498546749684	-55.81187968975873	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-36.66505527946097	-55.206761303255476	-51.5498546749684	-55.85624208844371	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-38.23803489879715	-55.229749240453565	-51.5498546749684	-55.85624208844371	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-39.78140275602282	-55.27118761430565	-51.5498546749684	-55.90551931900741	-52.32278609349182
-66.83794474037776	-66.84308479015894	-66.82025137450556	-66.8382124888009	-66.83096813905482	-41.292957666904734	-55.410446374540825	-51.5498546749684	-55.90551931900741	-52.32278609349182
